2026-01-16,01:05,GOOGL,BUY,36.09,332.51,12000,82.6,Rebalance
2026-01-16,01:05,AAPL,BUY,30.97,258.29,8000,69.8,Rebalance
2026-01-16,01:05,COST,BUY,8.39,953.98,7999,66.3,Rebalance
2026-01-17,11:20,COST,SELL,8.39,963.61,8080,0.0,Rebalance 0%
2026-01-17,11:46,MSFT,BUY,15.64,459.86,7192,82.5,Dip Buy
2026-01-21,22:57,GOOGL,SELL,36.09,327.25,11810,0.0,Rebalance 0%
2026-01-23,11:04,MSFT,SELL,15.64,451.14,7055,0.0,Rebalance 0%
2026-01-25,18:13,MSFT,BUY,15.36,465.95,7157,87.5,Dip Buy
2026-01-25,18:13,GOOGL,BUY,30.31,327.93,9940,70.8,Rebalance
2026-01-29,18:03,AAPL,SELL,30.97,256.44,7942,0.0,Rebalance 0%
2026-01-30,09:23,META,BUY,10.78,738.31,7957,63.5,Rebalance
2026-02-01,10:55,TMUS,BUY,36.21,197.21,7140,85.9,Dip Buy
2026-02-03,22:03,META,SELL,10.78,696.82,7510,0.0,Rebalance 0%
2026-02-03,22:03,AVGO,BUY,25.67,316.42,8123,77.0,Rebalance
2026-02-06,23:47,MSFT,SELL,15.36,399.20,6132,0.0,Rebalance 0%
2026-02-06,23:47,MSFT,BUY,3.99,399.20,1591,89.4,Rebalance
2026-02-06,23:47,NVDA,BUY,41.83,184.65,7723,74.4,Rebalance
2026-02-06,23:47,AAPL,BUY,21.23,278.38,5910,58.4,Rebalance
2026-02-13,17:10,AVGO,SELL,25.67,331.17,8502,0.0,Rebalance 0%
2026-02-21,14:26,NVDA,SELL,41.83,189.82,7939,0.0,Rebalance 0%
2026-02-25,22:45,TMUS,SELL,36.21,219.19,7936,0.0,Rebalance 0%
2026-02-25,22:45,NVDA,BUY,60.22,197.13,11871,89.2,Rebalance
2026-02-25,22:45,AVGO,BUY,29.88,331.02,9892,77.5,Rebalance
